All OJ,Problem Title,CP4+5,Hint,DACU,Point,Solved
13025,Fetching from uHunt,"1.4a, One-Liner I/O","giveaway, just print the one-line answer",,0.0,false
carrots,carrots,"1.4a, One-Liner I/O",just print P,15155,1.3,false
hello,hello,"1.4a, One-Liner I/O","just print ""Hello World!""",39217,1.2,true
lc2469,to replace with LeetCode link soon...,"1.4a, One-Liner I/O",simple C to K/F conversion,0,2.0,true
thelastproblem,thelastproblem,"1.4a, One-Liner I/O",S can have space(s),76,1.8,false
10071,Fetching from uHunt,"1.4b, I/O + Sequences Only",super simple: output 2*v*t,,0.0,true
11614,Fetching from uHunt,"1.4b, I/O + Sequences Only",root of a quadratic equation,,0.0,false
r2,r2,"1.4b, I/O + Sequences Only",just print 2*S-R1,14929,1.2,false
conteststruggles,conteststruggles,"1.4c, Selection Only, 2 Cases",simple formula; check if answer in [0..100],729,2.2,false
isithalloween,isithalloween,"1.4c, Selection Only, 2 Cases",if-else; 2 cases,3761,1.3,false
laptopsticker,laptopsticker,"1.4c, Selection Only, 2 Cases",if-else; 2 cases; note: one centimeter for both sides,3329,1.5,false
lc3560,to replace with LeetCode link soon...,"1.4c, Selection Only, 2 Cases",if-else; 2 cases,0,2.0,false
moscowdream,moscowdream,"1.4c, Selection Only, 2 Cases",if-else; 2 cases; check n ≥ 3,3902,1.8,false
vajningsplikt,vajningsplikt,"1.4c, Selection Only, 2 Cases",selection; multiple cases; be careful,788,2.1,false
grading,grading,"1.4d, Selection Only, 3+ Cases",6 cases,2744,1.5,false
lc2119,to replace with LeetCode link soon...,"1.4d, Selection Only, 3+ Cases",True if num is 0; otherwise True only if num is not divisible by 10,0,2.0,false
onechicken,onechicken,"1.4d, Selection Only, 3+ Cases",4 cases; piece vs pieces,6464,1.6,false
provincesandgold,provincesandgold,"1.4d, Selection Only, 3+ Cases",6 cases,4756,1.4,false
sith,sith,"1.4d, Selection Only, 3+ Cases",3 cases,1137,1.6,false
temperature,temperature,"1.4d, Selection Only, 3+ Cases",3 cases; derive formula,1776,2.2,false
testdrive,testdrive,"1.4d, Selection Only, 3+ Cases",4 cases,848,2.1,false
01124,Fetching from uHunt,"1.4e, Repetition Only",LA 2681 - SouthEasternEurope06; just echo/re-print the input again,,0.0,false
11547,Fetching from uHunt,"1.4e, Repetition Only",a one liner O(1) solution exists,,0.0,false
different,different,"1.4e, Repetition Only",use abs function per test case,8964,2.3,false
lc1281,to replace with LeetCode link soon...,"1.4e, Repetition Only",break n into digits; do as asked,0,2.0,true
qaly,qaly,"1.4e, Repetition Only",trivial loop,5955,1.2,false
tarifa,tarifa,"1.4e, Repetition Only",one pass; array not needed,9768,1.3,false
timeloop,timeloop,"1.4e, Repetition Only",just print 'num Abracadabra' N times,17170,1.3,false
11172,Fetching from uHunt,"1.4f, Multiple TC + Selection",very easy; one liner,,0.0,false
12250,Fetching from uHunt,"1.4f, Multiple TC + Selection",LA 4995 - KualaLumpur10; if-else,,0.0,false
12372,Fetching from uHunt,"1.4f, Multiple TC + Selection","just check if all L, W, H ≤ 20",,0.0,false
eligibility,eligibility,"1.4f, Multiple TC + Selection",3 cases,1741,1.6,false
helpaphd,helpaphd,"1.4f, Multiple TC + Selection",2 cases,2044,1.6,false
leftbeehind,leftbeehind,"1.4f, Multiple TC + Selection",4 cases,2014,1.6,false
oddities,oddities,"1.4f, Multiple TC + Selection",2 cases,11523,1.3,false
12279,Fetching from uHunt,"1.4g, Control Flow, Level 1",simple linear scan,,0.0,false
lc1431,to replace with LeetCode link soon...,"1.4g, Control Flow, Level 1",simple one pass check; leetcode-75,0,2.0,false
licensetolaunch,licensetolaunch,"1.4g, Control Flow, Level 1",easy linear pass,1969,1.4,true
11799,Fetching from uHunt,"1.4h, Control Flow, Level 2",one linear scan; find max value,,0.0,false
13130,Fetching from uHunt,"1.4h, Control Flow, Level 2",simple,,0.0,false
lc2169,to replace with LeetCode link soon...,"1.4h, Control Flow, Level 2",simulate as asked,0,2.0,false
11364,Fetching from uHunt,"1.4i, Control Flow, Level 3",linear scan to get l and r; answer = 2*(r-l),,0.0,false
11764,Fetching from uHunt,"1.4i, Control Flow, Level 3",one linear scan to count high low jumps,,0.0,false
lc2455,to replace with LeetCode link soon...,"1.4i, Control Flow, Level 3",even+divisible by 3 = divisible by 6,0,2.0,false
oddgnome,oddgnome,"1.4i, Control Flow, Level 3",linear pass,2388,1.6,false
statistics,statistics,"1.4i, Control Flow, Level 3",one pass; array not needed,2942,1.7,false
11078,Fetching from uHunt,"1.4j, Function",one linear scan; max function,,0.0,false
11332,Fetching from uHunt,"1.4j, Function",simple recursion,,0.0,false
artichoke,artichoke,"1.4j, Function",LA 7150 - WorldFinals Marrakech15; linear scan; probably one of the easiest WorldFinals problem; also available at UVa 0...,1390,2.8,false
digits,digits,"1.4j, Function",direct simulation; also available at UVa 11687 - Digits,214,3.5,false
filip,filip,"1.4j, Function",create a 'reverse string' function; then if-else check,6345,1.3,false
lc2180,to replace with LeetCode link soon...,"1.4j, Function",use sum-of-digits function,0,2.0,false
mia,mia,"1.4j, Function",just if-else check,1136,2.1,false
01585,Fetching from uHunt,"1.4k, 1D Array, Easier",LA 3354 - Seoul05; very easy one pass algorithm,,0.0,false
12015,Fetching from uHunt,"1.4k, 1D Array, Easier",traverse the list twice,,0.0,false
acm,acm,"1.4k, 1D Array, Easier",simple simulation; one pass,3526,1.5,true
cetiri,cetiri,"1.4k, 1D Array, Easier",sort 3 number helps; 3 cases,1165,1.9,false
lc1491,to replace with LeetCode link soon...,"1.4k, 1D Array, Easier",(sum-max-min)/len; programming-skills,0,2.0,true
lineup,lineup,"1.4k, 1D Array, Easier",sort ascending/descending and compare; or linear pass,3703,1.6,true
lostlineup,lostlineup,"1.4k, 1D Array, Easier",simple 1D array manipulation,550,1.5,false
11349,Fetching from uHunt,"1.4l, 2D Array, Easier",use long long to avoid issues,,0.0,false
hakkari,hakkari,"1.4l, 2D Array, Easier",find indices of the '*',659,1.3,false
lc1572,to replace with LeetCode link soon...,"1.4l, 2D Array, Easier",sum the diagonals; do not overcount the center cell for odd n; programming-skills,0,2.0,true
12658,Fetching from uHunt,"1.4m, Easy",character recognition check,,0.0,false
12696,Fetching from uHunt,"1.4m, Easy",LA 6608 - Phuket 2013; easy problem,,0.0,false
batterup,batterup,"1.4m, Easy",easy one loop,4542,1.3,false
hangingout,hangingout,"1.4m, Easy",simple loop,2218,1.3,false
hissingmicrophone,hissingmicrophone,"1.4m, Easy",simple loop,7690,1.3,false
lc2739,to replace with LeetCode link soon...,"1.4m, Easy",simulate the process,0,2.0,false
stopwatch,stopwatch,"1.4m, Easy",linear pass; simulation,390,1.3,false
11683,Fetching from uHunt,"1.4n, Still Easy",one linear pass is enough,,0.0,false
11786,Fetching from uHunt,"1.4n, Still Easy",need to observe the pattern,,0.0,false
bossbattle,bossbattle,"1.4n, Still Easy",trick question,1391,1.8,false
lc1342,to replace with LeetCode link soon...,"1.4n, Still Easy",logarithmic steps simulation,0,2.0,false
peasoup,peasoup,"1.4n, Still Easy",one linear pass,771,2.4,false
thanos,thanos,"1.4n, Still Easy",simple simulation; R is at least 2,2503,2.5,false
vote,vote,"1.4n, Still Easy",follow the requirements,1584,2.2,false
